,balance,equity
3540,1014.7654852620002,1014.7654852620002
3600,1014.7654852620002,1014.7654852620002
3660,1014.7654852620002,1014.7654852620002
3720,1014.7654852620002,1014.7654852620002
3780,1014.7654852620002,1014.7654852620002
3840,1014.7654852620002,1014.7654852620002
3900,1014.7654852620002,1014.7654852620002
3960,1014.7654852620002,1014.7654852620002
4020,1014.7654852620002,1014.7654852620002
4080,1014.7654852620002,1014.7654852620002
4140,1014.7654852620002,1014.7654852620002
4200,1014.7654852620002,1014.7654852620002
4260,1014.8243768940002,1014.7654852620002
4320,1014.6502618070334,1015.3079768940003
4380,1015.0682673943604,1014.1952120440003
4440,1015.0682673943604,1016.4296808600002
4500,1015.0682673943604,1017.2256808600002
4560,1015.0682673943604,1017.4246808600002
4620,1015.0682673943604,1017.2256808600002
4680,1015.0682673943604,1016.6883808600003
4740,1015.0682673943604,1016.7082808600003
4800,1015.0682673943604,1016.7679808600002
4860,1015.0682673943604,1016.8873808600002
4920,1015.0682673943604,1016.4296808600002
4980,1015.0682673943604,1014.1212808600002
5040,1015.0682673943604,1014.9570808600002
5100,1015.0682673943604,1016.0117808600003
5160,1015.0682673943604,1015.9520808600003
5220,1015.0682673943604,1016.3102808600003
5280,1015.0682673943604,1016.4893808600002
5340,1015.0682673943604,1016.2107808600002
5400,1015.0682673943604,1016.5291808600002
5460,1015.0682673943604,1016.3500808600003
5520,1015.0682673943604,1015.7729808600002
5580,1015.0682673943604,1016.0714808600003
5640,1015.0682673943604,1015.7331808600002
5700,1015.0682673943604,1015.9321808600002
5760,1015.0682673943604,1015.2157808600002
5820,1015.0682673943604,1015.5540808600002
5880,1015.0682673943604,1015.8525808600002
5940,1015.0682673943604,1015.5938808600002
6000,1015.0682673943604,1015.6137808600002
6060,1015.0682673943604,1015.7331808600002
6120,1015.0682673943604,1016.3301808600003
6180,1015.0682673943604,1015.8127808600002
6240,1015.0682673943604,1015.8525808600002
6300,1015.0682673943604,1015.7729808600002
6360,1015.0682673943604,1015.8326808600002
6420,1015.0682673943604,1016.1112808600002
6480,1015.0682673943604,1015.4744808600002
6540,1015.0682673943604,1015.9918808600003
6600,1015.0682673943604,1016.0714808600003
6660,1015.0682673943604,1016.0515808600003
6720,1015.0682673943604,1016.4893808600002
6780,1015.0682673943604,1016.7878808600002
6840,1015.0682673943604,1016.6485808600003
6900,1015.0682673943604,1016.5092808600002
6960,1015.0682673943604,1016.3301808600003
7020,1015.0682673943604,1016.3102808600003
7080,1015.0682673943604,1015.9321808600002
7140,1015.0682673943604,1016.1510808600002
7200,1015.0682673943604,1016.4495808600002
7260,1015.0682673943604,1016.1510808600002
7320,1015.0682673943604,1016.2903808600003
7380,1015.0682673943604,1015.8326808600002
7440,1015.0682673943604,1014.4595808600002
