,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
40,82149,ETH,0.0,-0.018214578000000002,1027.7372563840001,0.433,210.33,0.433,210.33,entry_initial_normal_long
41,82153,ETH,0.8486799999999911,-0.018384314000000002,1028.5675520700001,-0.433,212.29,0.0,210.33,close_trailing_long
42,82154,ETH,0.0,-0.018220956,1028.549331114,0.431,211.38,0.431,211.38,entry_initial_normal_long
43,82157,ETH,-0.2155,-0.018177856,1028.315653258,-0.431,210.88,0.0,211.38,close_trailing_long
44,82158,ETH,0.0,-0.018220094000000003,1028.297433164,0.431,211.37,0.431,211.37,entry_initial_normal_long
45,82163,ETH,1.344720000000002,-0.018489038,1029.623664126,-0.431,214.49,0.0,211.37,close_trailing_long
46,97414,ETH,0.0,-0.01822009,1029.6054440359999,0.427,213.35,0.427,213.35,entry_initial_normal_long
47,97417,ETH,-0.0341599999999932,-0.018213258000000003,1029.553070778,-0.427,213.27,0.0,213.35,close_trailing_long
48,97457,ETH,0.0,-0.018228672,1029.5348421059998,0.432,210.98,0.432,210.98,entry_initial_normal_long
49,97460,ETH,-0.23759999999999262,-0.018181152000000003,1029.2790609539998,-0.432,210.43,0.0,210.98,close_trailing_long
50,97461,ETH,0.0,-0.018207650000000002,1029.2608533039997,0.433,210.25,0.433,210.25,entry_initial_normal_long
51,97463,ETH,0.0,-0.02979704,1029.2310562639998,0.728,204.65,1.161,206.7385443583118,entry_grid_normal_long
52,97470,ETH,-0.5439799999999868,-0.04789589400000001,1028.6391803699998,-1.161,206.27,0.0,206.7385443583118,close_trailing_long
53,97471,ETH,0.0,-0.018213232,1028.6209671379997,0.439,207.44,0.439,207.44,entry_initial_normal_long
54,97479,ETH,-0.2370599999999965,-0.01816582,1028.3657413179997,-0.439,206.9,0.0,207.44,close_trailing_long
55,97480,ETH,0.0,-0.018216744,1028.3475245739996,0.439,207.48,0.439,207.48,entry_initial_normal_long
56,97483,ETH,0.8867800000000045,-0.0183941,1029.2159104739997,-0.439,209.5,0.0,207.48,close_trailing_long
57,97908,ETH,0.0,-0.018220156,1029.1976903179996,0.458,198.91,0.458,198.91,entry_initial_normal_long
58,97913,ETH,-0.1145,-0.018197256000000002,1029.0649930619995,-0.458,198.66,0.0,198.91,close_trailing_long
59,97916,ETH,0.0,-0.018203940000000005,1029.0467891219996,0.459,198.3,0.459,198.3,entry_initial_normal_long
60,97918,ETH,-0.23409000000000887,-0.018157122,1028.7945419999996,-0.459,197.79,0.0,198.3,close_trailing_long
61,98861,ETH,0.0,-0.018228824,1028.7763131759996,0.479,190.28,0.479,190.28,entry_initial_normal_long
62,98864,ETH,0.3544600000000043,-0.018299716,1029.1124734599996,-0.479,191.02,0.0,190.28,close_trailing_long
63,102635,ETH,0.0,-0.018233250000000003,1029.0942402099995,0.525,173.65,0.525,173.65,entry_initial_normal_long
64,102638,ETH,-0.23625000000000895,-0.018186,1028.8398042099996,-0.525,173.2,0.0,173.65,close_trailing_long
65,102640,ETH,0.0,-0.018234316,1028.8215698939996,0.526,173.33,0.526,173.33,entry_initial_normal_long
66,102645,ETH,0.5417800000000006,-0.018342672000000004,1029.3450072219996,-0.526,174.36,0.0,173.33,close_trailing_long
67,102651,ETH,0.0,-0.018233952,1029.3267732699996,0.528,172.67,0.528,172.67,entry_initial_normal_long
68,102655,ETH,0.36960000000000903,-0.018307872000000003,1029.6780653979997,-0.528,173.37,0.0,172.67,close_trailing_long
69,102666,ETH,0.0,-0.018245160000000003,1029.6598202379996,0.531,171.8,0.531,171.8,entry_initial_normal_long
70,102671,ETH,-0.13275,-0.018218610000000003,1029.5088516279995,-0.531,171.55,0.0,171.8,close_trailing_long
71,102672,ETH,0.0,-0.018243500000000003,1029.4906081279996,0.535,170.5,0.535,170.5,entry_initial_normal_long
72,102679,ETH,0.16050000000000608,-0.018275600000000003,1029.6328325279997,-0.535,170.8,0.0,170.5,close_trailing_long
73,102680,ETH,0.0,-0.018248850000000004,1029.6145836779997,0.535,170.55,0.535,170.55,entry_initial_normal_long
74,102686,ETH,0.4440499999999915,-0.018337660000000002,1030.0402960179997,-0.535,171.38,0.0,170.55,close_trailing_long
75,102737,ETH,0.0,-0.018246972000000004,1030.0220490459997,0.543,168.02,0.543,168.02,entry_initial_normal_long
76,102740,ETH,0.5592900000000006,-0.018358830000000003,1030.5629802159997,-0.543,169.05,0.0,168.02,close_trailing_long
77,102859,ETH,0.0,-0.018245484000000003,1030.5447347319996,0.558,163.49,0.558,163.49,entry_initial_normal_long
78,102866,ETH,-0.2343600000000089,-0.018198612,1030.2921761199996,-0.558,163.07,0.0,163.49,close_trailing_long
79,102867,ETH,0.0,-0.018252640000000004,1030.2739234799997,0.56,162.97,0.56,162.97,entry_initial_normal_long
80,102870,ETH,0.05599999999999682,-0.018263840000000003,1030.3116596399996,-0.56,163.07,0.0,162.97,close_trailing_long
81,102871,ETH,0.0,-0.018260064,1030.2933995759995,0.564,161.88,0.564,161.88,entry_initial_normal_long
82,102876,ETH,-0.23687999999999293,-0.018212688,1030.0383068879994,-0.564,161.46,0.0,161.88,close_trailing_long
83,102877,ETH,0.0,-0.018236298,1030.0200705899995,0.573,159.13,0.573,159.13,entry_initial_normal_long
84,102877,ETH,0.0,-0.029831813999999998,1029.9902387759994,0.963,154.89,1.536,156.47171874999998,entry_grid_normal_long
85,102878,ETH,0.0,-0.078446914,1029.9117918619993,2.581,151.97,4.117,153.64953364100072,entry_grid_normal_long
86,102880,ETH,-1.5505900607237768,-0.11895265,1028.2422491512755,-3.881,153.25,0.236,153.64953364100072,close_trailing_long
87,102881,ETH,0.0,-0.011884592000000001,1028.2303645592756,0.397,149.68,0.633,151.15995251070484,entry_grid_normal_long
88,102881,ETH,0.0,-0.031307136000000006,1028.1990574232757,1.064,147.12,1.697,148.6269475187249,entry_grid_normal_long
89,102882,ETH,0.0,-0.08232012799999999,1028.1167372952757,2.852,144.32,4.549,145.926702558645,entry_grid_normal_long
90,102884,ETH,0.0,-0.095229246,1028.0215080492758,3.381,140.83,7.93,143.75369482210294,entry_grid_cropped_long
91,102889,ETH,0.0,-0.28519253600000005,1027.7363155132757,10.613,134.36,18.543,138.37725718272537,entry_trailing_cropped_long
92,102890,ETH,18.7020615564075,-0.1133352,1046.3250418696832,-3.96,143.1,14.583,138.37725718272537,close_grid_long
93,102890,ETH,23.533261556407496,-0.11430144,1069.7440019860908,-3.96,144.32,10.623,138.37725718272537,close_grid_long
94,102892,ETH,0.0,-0.24002178,1069.5039802060908,8.59,139.71,19.213,138.97311731911162,entry_trailing_cropped_long
95,102894,ETH,19.476459639685007,-0.11793663199999999,1088.8625032137759,-4.103,143.72,15.11,138.97311731911162,close_grid_long
96,102895,ETH,25.263875840751684,-0.12117871200000001,1114.0052003425276,-4.178,145.02,10.932,138.97311731911162,close_grid_long
97,102895,ETH,30.36103584075168,-0.12219814400000001,1144.2440380392793,-4.178,146.24,6.754,138.97311731911162,close_grid_long
98,102896,ETH,1.2321911060479265,-0.004248864,1145.4719802813272,-0.144,147.53,6.61,138.97311731911162,close_grid_long
99,102898,ETH,4.042171035880192,-0.13347217199999997,1149.3806791452073,-4.773,139.82,1.837,138.97311731911162,close_trailing_long
100,102898,ETH,0.0,-0.07029852,1149.3103806252072,2.627,133.8,4.464,135.92881194337096,entry_grid_cropped_long
101,102899,ETH,0.0,-0.133504008,1149.1768766172072,5.181,128.84,9.645,132.12091824937357,entry_grid_cropped_long
102,102902,ETH,0.0,-0.318808666,1148.8580679512072,13.067,121.99,22.712,126.29225019880275,entry_trailing_cropped_long
103,102903,ETH,20.892586535806643,-0.126682,1169.6239724870138,-4.85,130.6,17.862,126.29225019880275,close_grid_long
104,102903,ETH,26.27608653580671,-0.1277587,1195.7723003228205,-4.85,131.71,13.012,126.29225019880275,close_grid_long
105,102903,ETH,31.65958653580664,-0.1288354,1227.3030514586271,-4.85,132.82,8.162,126.29225019880275,close_grid_long
106,102904,ETH,1.885133201690935,-0.006514830000000001,1229.181669830318,-0.243,134.05,7.919,126.29225019880275,close_grid_long
107,102907,ETH,74.04435787954776,-0.15716549600000002,1303.0688622138657,-5.636,139.43,2.283,126.29225019880275,close_trailing_long
108,102909,ETH,33.92024279613334,-0.06444909,1336.9246559199992,-2.283,141.15,0.0,126.29225019880275,close_trailing_long
109,102910,ETH,0.0,-0.023671599999999998,1336.9009843199992,0.83,142.6,0.83,142.6,entry_initial_normal_long
110,102911,ETH,0.0,-0.0387252,1336.8622591199992,1.395,138.8,2.225,140.21752808988765,entry_grid_normal_long
111,102912,ETH,0.0,-0.101835404,1336.7604237159992,3.739,136.18,5.964,137.68628772635816,entry_grid_normal_long
112,102913,ETH,0.0,-0.13219553600000003,1336.6282281799993,4.972,132.94,10.936,135.5284107534748,entry_grid_cropped_long
113,102914,ETH,22.384887225676593,-0.08305635,1358.9300590556759,-2.899,143.25,8.037,135.5284107534748,close_grid_long
114,102916,ETH,18.12394716532542,-0.16100038000000003,1376.8930058410012,-5.806,138.65,2.231,135.5284107534748,close_trailing_long
115,102918,ETH,8.726755608997744,-0.06221812799999999,1385.557543321999,-2.231,139.44,0.0,135.5284107534748,close_trailing_long
116,102919,ETH,0.0,-0.024526062,1385.533017259999,0.873,140.47,0.873,140.47,entry_initial_normal_long
117,102921,ETH,1.5626699999999931,-0.024838596,1387.070848663999,-0.873,142.26,0.0,140.47,close_trailing_long
118,102922,ETH,0.0,-0.024568126000000003,1387.0462805379989,0.887,138.49,0.887,138.49,entry_initial_normal_long
