,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
77,79966,CRVUSDT,0.15146035171332525,-0.0023668400000000003,1190.1837766187941,-15.8,0.749,532.2,0.7394139017902959,close_unstuck_long
78,79967,CRVUSDT,0.1830603517133253,-0.00237316,1190.3644638105075,-15.8,0.751,516.4,0.7394139017902959,close_unstuck_long
79,79968,CRVUSDT,0.1830603517133253,-0.00237316,1190.5451510022208,-15.8,0.751,500.6,0.7394139017902959,close_unstuck_long
80,79969,CRVUSDT,0.15146035171332525,-0.0023668400000000003,1190.694244513934,-15.8,0.749,484.8,0.7394139017902959,close_unstuck_long
81,79970,CRVUSDT,0.15146035171332525,-0.0023668400000000003,1190.8433380256474,-15.8,0.749,469.0,0.7394139017902959,close_unstuck_long
82,79971,CRVUSDT,0.15146035171332525,-0.0023668400000000003,1190.9924315373607,-15.8,0.749,453.2,0.7394139017902959,close_unstuck_long
83,79972,CRVUSDT,0.15241896153429568,-0.00238182,1191.142468678895,-15.9,0.749,437.3,0.7394139017902959,close_unstuck_long
84,79981,CRVUSDT,0.0,-0.030626459999999998,1191.1118422188952,206.1,0.743,643.4,0.7405626348350892,entry_trailing_cropped_long
85,79991,CRVUSDT,0.13415410612208142,-0.00238182,1191.2436145050171,-15.9,0.749,627.5,0.7405626348350892,close_unstuck_long
86,79992,CRVUSDT,0.16491036960559038,-0.00237316,1191.4061517146226,-15.8,0.751,611.7,0.7405626348350892,close_unstuck_long
87,79993,CRVUSDT,0.14911036960559038,-0.0023700000000000006,1191.5528920842282,-15.8,0.75,595.9,0.7405626348350892,close_unstuck_long
88,79994,CRVUSDT,0.13415410612208142,-0.00238182,1191.6846643703502,-15.9,0.749,580.0,0.7405626348350892,close_unstuck_long
89,79995,CRVUSDT,0.13415410612208142,-0.00238182,1191.8164366564722,-15.9,0.749,564.1,0.7405626348350892,close_unstuck_long
90,79998,CRVUSDT,0.13415410612208142,-0.00238182,1191.9482089425942,-15.9,0.749,548.2,0.7405626348350892,close_unstuck_long
91,79999,CRVUSDT,0.14911036960559038,-0.0023700000000000006,1192.0949493121998,-15.8,0.75,532.4,0.7405626348350892,close_unstuck_long
92,80000,CRVUSDT,0.19651036960559043,-0.0023794800000000002,1192.2890802018053,-15.8,0.753,516.6,0.7405626348350892,close_unstuck_long
93,80001,CRVUSDT,0.1807103696055904,-0.0023763200000000003,1192.467414251411,-15.8,0.752,500.8,0.7405626348350892,close_unstuck_long
